iter	Passed	Remaining
0	0	88
1	6	320
2	7	251
3	8	210
4	12	238
5	15	244
6	18	247
7	20	238
8	22	222
9	22	205
10	23	190
11	25	185
12	40	271
13	46	288
14	54	307
15	59	313
16	61	301
17	62	285
18	64	275
19	68	272
20	69	261
21	70	251
22	71	239
23	72	230
24	77	231
25	77	221
26	79	215
27	84	216
28	85	209
29	86	202
30	89	199
31	90	191
32	92	187
33	94	182
34	96	180
35	100	178
36	101	173
37	103	169
38	106	167
39	108	162
40	110	158
41	110	152
42	112	149
43	118	151
44	121	148
45	125	147
46	132	149
47	138	149
48	140	145
49	140	140
50	145	139
51	147	136
52	149	132
53	151	128
54	153	125
55	154	121
56	157	118
57	159	115
58	162	112
59	163	108
60	169	108
61	170	104
62	172	101
63	174	98
64	176	95
65	177	91
66	178	87
67	179	84
68	180	81
69	181	77
70	184	75
71	186	72
72	186	69
73	188	66
74	191	63
75	193	61
76	194	57
77	195	55
78	196	52
79	199	49
80	202	47
81	203	44
82	206	42
83	208	39
84	209	36
85	211	34
86	213	31
87	217	29
88	218	27
89	221	24
90	223	22
91	225	19
92	226	17
93	227	14
94	231	12
95	235	9
96	235	7
97	237	4
98	238	2
99	240	0
