iter	Passed	Remaining
0	66	66198
1	66	33302
2	67	22350
3	67	16863
4	68	13565
5	68	11381
6	69	9804
7	69	8620
8	69	7700
9	70	6963
10	70	6357
11	71	5858
12	71	5434
13	71	5068
14	72	4753
15	72	4476
16	73	4235
17	73	4016
18	74	3822
19	74	3647
20	74	3488
21	75	3343
22	75	3210
23	75	3088
24	76	2976
25	76	2874
26	77	2780
27	77	2692
28	77	2611
29	78	2534
30	78	2465
31	79	2397
32	79	2333
33	80	2273
34	80	2216
35	80	2164
36	81	2114
37	81	2068
38	82	2031
39	82	1991
40	83	1953
41	84	1918
42	84	1882
43	85	1849
44	85	1815
45	86	1784
46	86	1755
47	87	1727
48	87	1699
49	88	1672
50	88	1646
51	88	1621
52	89	1596
53	89	1575
54	90	1552
55	90	1530
56	91	1509
57	91	1489
58	92	1470
59	92	1452
60	93	1434
61	93	1416
62	94	1398
63	94	1383
64	95	1367
65	95	1351
66	95	1336
67	96	1321
68	96	1308
69	97	1294
70	97	1280
71	98	1268
72	98	1255
73	99	1242
74	99	1230
75	100	1219
76	100	1208
77	101	1198
78	101	1187
79	102	1177
80	102	1166
81	103	1155
82	103	1142
83	103	1132
84	104	1122
85	104	1114
86	105	1105
87	105	1097
88	106	1088
89	106	1078
90	107	1069
91	107	1061
92	107	1052
93	108	1044
94	108	1036
95	109	1029
96	109	1022
97	110	1014
98	110	1007
99	111	1000
100	111	993
101	112	987
102	112	980
103	112	973
104	113	967
105	113	961
106	114	955
107	114	949
108	115	943
109	115	936
110	116	930
111	116	926
112	117	920
113	117	914
114	118	909
115	118	904
116	118	898
117	119	892
118	119	887
119	120	882
120	120	877
121	121	871
122	121	866
123	122	862
124	122	858
125	123	853
126	123	848
127	123	843
128	124	839
129	124	835
130	125	831
131	125	827
132	126	823
133	126	819
134	127	815
135	127	811
136	128	807
137	128	804
138	129	801
139	129	798
140	130	794
141	130	789
142	131	785
143	131	782
144	132	779
145	132	775
146	132	771
147	133	768
148	133	765
149	134	761
150	134	758
151	135	754
152	135	751
153	136	750
154	137	747
155	137	744
156	138	741
157	138	739
158	139	736
159	139	733
160	139	729
161	140	726
162	140	723
163	141	720
164	141	717
165	142	715
166	142	712
167	143	710
168	143	707
169	144	705
170	145	703
171	145	701
172	146	699
173	146	697
174	147	695
175	147	692
176	148	690
177	148	687
178	149	684
179	149	682
180	150	679
181	150	677
182	151	675
183	151	672
184	152	670
185	152	667
186	153	665
187	153	663
188	154	661
189	154	659
190	155	656
191	155	654
192	156	652
193	156	650
194	157	648
195	157	646
196	158	644
197	158	642
198	158	639
199	159	638
200	159	635
201	160	634
202	161	632
203	161	630
204	162	628
205	162	626
206	162	624
207	163	622
208	163	620
209	164	618
210	164	616
211	165	614
212	165	612
213	166	611
214	166	609
215	167	607
216	167	605
217	168	603
218	168	601
219	169	599
220	169	597
221	170	595
222	170	594
223	170	592
224	171	590
225	172	589
226	172	587
227	172	585
228	173	583
229	173	582
230	174	580
231	174	579
232	175	577
233	176	576
234	176	574
235	177	573
236	177	571
237	177	569
238	178	568
239	179	566
240	179	565
241	179	563
242	180	561
243	180	560
244	181	558
245	181	556
246	182	555
247	182	553
248	182	551
249	183	550
250	183	548
251	184	547
252	184	545
253	185	544
254	185	542
255	186	541
256	186	540
257	187	538
258	187	537
259	188	535
260	188	534
261	189	532
262	189	531
263	189	529
264	190	528
265	191	527
266	191	526
267	192	525
268	192	523
269	193	522
270	193	521
271	194	519
272	194	518
273	195	517
274	195	515
275	196	514
276	196	512
277	197	511
278	197	510
279	197	508
280	198	507
281	198	506
282	199	505
283	199	503
284	200	502
285	200	500
286	201	499
287	201	498
288	201	496
289	202	495
290	202	494
291	203	492
292	203	491
293	204	490
294	204	488
295	205	487
296	205	486
297	205	485
298	206	484
299	207	483
300	207	482
301	208	481
302	208	480
303	209	478
304	209	477
305	210	476
306	210	475
307	211	474
308	211	473
309	212	471
310	212	470
311	212	469
312	213	467
313	213	466
314	214	465
315	214	464
316	215	463
317	215	462
318	216	461
319	216	460
320	217	459
321	217	458
322	218	457
323	218	455
324	218	454
325	219	453
326	219	452
327	220	451
328	220	450
329	221	449
330	221	448
331	222	447
332	223	446
333	223	445
334	224	444
335	224	443
336	225	442
337	225	441
338	226	440
339	226	439
340	226	438
341	227	437
342	227	436
343	228	435
344	228	434
345	229	432
346	229	431
347	230	430
348	230	429
349	230	428
350	231	427
351	231	427
352	232	426
353	232	424
354	233	423
355	233	422
356	234	422
357	234	420
358	235	419
359	235	418
360	236	417
361	236	416
362	237	416
363	237	415
364	238	414
365	238	413
366	239	412
367	239	411
368	240	411
369	240	410
370	241	409
371	241	408
372	242	407
373	242	406
374	243	405
375	243	404
376	244	403
377	244	402
378	245	401
379	245	400
380	246	399
381	246	398
382	247	398
383	247	397
384	247	396
385	248	395
386	248	394
387	249	393
388	249	392
389	250	391
390	250	390
391	251	389
392	251	388
393	252	387
394	252	386
395	253	386
396	253	385
397	254	384
398	254	383
399	254	382
400	255	381
401	255	380
402	256	380
403	256	379
404	257	378
405	258	377
406	258	376
407	258	375
408	259	374
409	259	373
410	260	372
411	260	371
412	261	371
413	261	370
414	261	369
415	262	368
416	262	367
417	263	366
418	263	366
419	264	365
420	264	364
421	265	363
422	265	362
423	266	361
424	266	360
425	267	359
426	267	359
427	268	358
428	268	357
429	269	356
430	269	355
431	270	355
432	270	354
433	271	353
434	271	352
435	272	351
436	272	351
437	272	350
438	273	349
439	273	348
440	274	347
441	274	346
442	275	345
443	275	345
444	276	344
445	276	343
446	277	342
447	277	342
448	278	341
449	278	340
450	279	339
451	279	339
452	280	338
453	280	337
454	281	336
455	281	336
456	282	335
457	283	334
458	283	334
459	284	333
460	284	332
461	285	331
462	285	331
463	285	330
464	286	329
465	286	328
466	287	327
467	287	327
468	288	326
469	288	325
470	289	324
471	289	324
472	290	323
473	290	322
474	291	322
475	291	321
476	292	320
477	292	319
478	293	318
479	293	318
480	294	317
481	294	316
482	295	315
483	295	315
484	296	314
485	296	313
486	297	312
487	297	312
488	297	311
489	298	310
490	298	309
491	299	309
492	299	308
493	300	307
494	300	307
495	301	306
496	302	305
497	302	304
498	302	304
499	303	303
500	303	302
501	304	301
502	304	301
503	305	300
504	305	299
505	306	299
